product_id,name,sku,category_id,price,quantity,description,weight_g,supplier_id,created_at,rating,tags
P001,Sữa Vinamilk,VIN001,C001,25000,120,"Sữa tươi tiệt trùng 1L - bổ sung canxi",1000,S001,2025-01-15,4.6,"sữa,đồ uống,canxi"
P002,Snack Oishi,OI001,C002,8000,210,"Snack vị vịt chiên giòn 55g",55,S002,2025-02-10,4.3,"snack,ăn nhẹ"
P003,Mì Hảo Hảo,MI001,C003,4000,320,"Gói mì ăn liền hương vị truyền thống",75,S003,2025-03-05,4.2,"mì,ăn liền"
P004,Pepsi lon,PEP001,C004,12000,150,"Nước ngọt Pepsi lon 330ml",330,S004,2025-01-20,4.4,"nước ngọt,lon"
P005,Coffee G7,G7001,C005,17000,90,"Cà phê hòa tan G7 3in1 - túi 24 gói",480,S005,2025-02-25,4.5,"cafe,đồ uống,sáng"
P006,Trà Xanh Không Độ,TRA001,C004,10000,130,"Trà xanh Không Độ chai 500ml",500,S006,2025-03-12,4.1,"trà,xanh,không độ"
P007,Bánh quy Lotus,LOT001,C006,15000,180,"Bánh quy bơ hương vani 200g",200,S007,2025-03-20,4.4,"bánh,quy,ăn nhẹ"
P008,Bánh mì Việt,BAK001,C006,12000,60,"Bánh mì tươi mỗi ngày - ổ 300g",300,S008,2025-03-18,4.0,"bánh,mì,tươi"
P009,Nước suối La Vie,LAW001,C004,7000,400,"Nước suối La Vie 500ml",500,S009,2025-02-05,4.7,"nước,đồ uống,sức khỏe"
P010,Yến sào Hộp,YEN001,C007,120000,25,"Yến sào tinh chế hộp 50g",50,S010,2025-01-30,4.8,"yến,sức khỏe"
P011,Bột ngọt Ajinomoto,AJI001,C008,9000,200,"Bột ngọt Ajinomoto gói 200g",200,S011,2025-02-12,4.2,"gia vị,nấu ăn"
P012,Chuối Tiến Vua,FRU001,C009,30000,90,"Chuối tiêu tươi (kg)",1000,S012,2025-03-01,4.1,"trái cây,tươi,chuối"
P013,Bơ Thực Vật,SPM001,C008,45000,70,"Bơ thực vật 250g - dùng cho nướng",250,S013,2025-02-20,4.0,"bơ,thực phẩm"
P014,Siro Ho Prospan,MED001,C007,95000,40,"Siro ho thảo dược Prospan 100ml",100,S014,2025-01-22,4.3,"siro,ho,thuốc"
P015,Kem đánh răng Colgate,COL001,C010,30000,150,"Kem đánh răng Colgate bảo vệ răng miệng 100g",100,S015,2025-02-02,4.5,"răng,miệng,chiết"
P016,Dầu gội Head & Shoulders,HGS001,C010,85000,85,"Dầu gội H&S giảm gàu 340ml",340,S016,2025-01-18,4.4,"dầu gội,chăm sóc"
P017,Nước rửa chén Sunlight,SUN001,C011,28000,110,"Nước rửa chén Sunlight 900ml",900,S017,2025-02-08,4.2,"rửa chén,gia đình"
P018,Phô mai Con Bò Cười,PAI001,C001,22000,140,"Phô mai lát Con Bò Cười 120g",120,S018,2025-03-02,4.3,"phô mai,bữa sáng"
P019,Bánh tráng Tây Ninh,BTN001,C002,6000,250,"Bánh tráng trộn đặc sản Tây Ninh 40g",40,S019,2025-02-28,4.0,"bánh tráng,ăn vặt"
P020,Đậu phộng rang,PN001,C002,12000,190,"Đậu phộng rang muối 200g",200,S020,2025-03-06,4.1,"đậu,đồ ăn vặt"
P021,Thịt hộp Vissan,VIS001,C013,45000,55,"Thịt hộp Vissan 200g",200,S021,2025-01-25,4.0,"thịt,hộp,bảo quản"
P022,Nước cam ép,NAP001,C004,18000,95,"Nước cam ép tươi 330ml",330,S022,2025-02-15,4.2,"nước ép,cam,đồ uống"
P023,Kẹo mút Chupa,CHU001,C002,5000,300,"Kẹo mút Chupa Chups hương trái cây",20,S023,2025-03-08,4.0,"kẹo,trái cây"
P024,Mật ong rừng,HON001,C012,150000,30,"Mật ong rừng nguyên chất 250g",250,S024,2025-01-10,4.6,"mật ong,tự nhiên"
P025,Nước ép Táo,APP001,C004,20000,120,"Nước ép táo 100% 250ml",250,S025,2025-02-22,4.3,"nước ép,táo"
